순번,지식재산권 명칭,출원구분,출원국,출원일자,출원번호,등록일자,등록번호
146,3D 프린팅을 이용한 종방향 길이 합축형 도파관 메타물질 공진기 및 이를 포함하는 도파관 대역통과 여파기,특허,대한민국,2023-03-07,10-2023-0030038,2023-08-17,10-2569509
147,"재밍 신호 생성 방법, 재밍 신호 생성 장치 및 통신 시스템",특허,대한민국,2021-05-03,10-2021-0057260,2023-08-11,10-2567930
148,분포적 강화학습에서의 섭동 기반 탐색 방법 및 장치,특허,대한민국,2022-09-28,10-2022-0123744,2023-08-11,10-2567929
149,"전장 상황에서의 방책 추천을 위한 강화학습 방법 및 시스템, 이를 위한 컴퓨팅 장치",특허,대한민국,2022-12-09,10-2022-0171478,2023-08-11,10-2567928
150,"클러스터링에 기초하여, 신경망 필터를 프루닝하는 방법 및 장치",특허,대한민국,2023-02-09,10-2023-0017263,2023-08-10,10-2567539
151,열전지 전극 및 이의 제조방법,특허,대한민국,2023-03-24,10-2023-0039274,2023-08-10,10-2567538
152,전자장치와 그 사이버 전투실험을 위한 하이브리드 임무영향 분석 방법,특허,대한민국,2023-03-30,10-2023-0042337,2023-08-10,10-2567306
153,원자 스핀 자이로스코프의 온도 센싱 장치 및 온도 센싱 방법,특허,대한민국,2021-06-22,10-2021-0081056,2023-08-08,10-2566518
154,공기흡입추진 발사체용 발사관 및 그 탑재체,특허,대한민국,2023-01-17,10-2023-0006750,2023-08-08,10-2566104
155,단위셀 기능 검증을 위한 도파관 구조체 및 전파연동 메타표면 장치를 위한 고효율 적층 패치 안테나,특허,대한민국,2023-01-20,10-2023-0008898,2023-08-08,10-2566517
156,화생방 실내 오염확산 예측 시스템 및 방법,특허,대한민국,2023-01-05,10-2023-0001519,2023-08-04,10-2565379
157,랜덤 가변 위상 변조가 결합된 하이브리드 첩 센싱 행렬 구현 기반의 신호 처리 방법 및 SAR 영상 처리 방법,특허,대한민국,2021-12-10,10-2021-0176969,2023-08-02,10-2564508
158,열전지 및 그 제조 방법,특허,대한민국,2021-05-04,10-2021-0058126,2023-08-01,10-2564032
159,저잡음 증폭기,특허,대한민국,2021-05-21,10-2021-0065716,2023-08-01,10-2564031
160,카세그레인 안테나를 이용하여 표적의 방향을 탐지하기 위한 장치 및 방법,특허,대한민국,2021-09-16,10-2021-0124253,2023-08-01,10-2564033
161,영상의 잠재특징을 이용한 영상 변환방법 및 장치,특허,대한민국,2022-12-20,10-2022-0179572,2023-08-01,10-2563953
162,"프레임간 유사도에 기초하여, 신경망 학습을 위한 프레임 데이터를 생성하는 방법 및 장치",특허,대한민국,2023-01-17,10-2023-0006930,2023-08-01,10-2564039
163,액체 연료 탱크,특허,대한민국,2023-03-02,10-2023-0027686,2023-08-01,10-2563410
164,시계열 영상을 이용한 표적 탐지 방법 및 시스템,특허,대한민국,2023-03-09,10-2023-0031087,2023-08-01,10-2564038
165,입자 침투율 평가 장치,특허,대한민국,2023-03-20,10-2023-0035936,2023-08-01,10-2563666
166,표적을 검출하는 장치 및 그 방법,특허,대한민국,2021-02-24,10-2021-0024876,2023-07-31,10-2563133
